식품명,1회제공량,내용량_단위,총내용량(g),총내용량(mL),에너지,단백질,지방,탄수화물,총당류,나트륨,콜레스테롤,총포화지방산,트랜스지방산,카페인
레몬에이드,100,mL,0,100,40.3,0.07,0.08,9.83,9.73,1.13,0,0.03,0,0
블루레몬에이드,100,mL,0,100,45.3,0.06,0.07,11.1,10.7,1.48,0,0.02,0,0
자몽에이드,100,mL,0,100,37.8,0.35,0.06,8.96,8.05,1.73,0,0.02,0,0
유자레이드,100,mL,0,100,51.4,0.25,0.09,12.4,12.2,3.05,0,0.03,0,0
체리콕,100,mL,0,100,56.1,0.01,0.05,13.9,13.8,1.31,0,0,0,0
라임에이드,100,mL,0,100,42.1,0.02,0.05,10.4,9.51,0,0,0,0,0
폭탄에이드,100,mL,0,100,43.8,0.11,0.06,10.7,9.07,1.42,0,0,0,0
청포도에이드,100,mL,0,100,52.5,0.01,0.18,12.7,11.6,1.13,0,0.09,0,0
깔라만시에이드,100,mL,0,100,48.2,0.05,0.01,12,11,16.3,0,0,0,0
아이스티,100,mL,0,100,50.6,0.06,0.08,12.4,12.1,0,0,0.03,0,0
레몬티,100,mL,0,100,46.5,0.52,0.05,11,10.4,2.52,0,0.03,0,0
유자티,100,mL,0,100,56,0.13,0.07,13.7,13.2,2.86,0,0.02,0,0
꿀자몽티,100,mL,0,100,58.4,0.13,0.07,14.3,13.7,13,0,0.02,0,0
딸기바나나,100,mL,0,100,59.1,1.01,1.05,11.4,10.9,12,0,0.66,0.03,0
망고바나나,100,mL,0,100,67,1.06,0.93,13.6,13,9.87,0,0.53,0.02,0
초코바나나,100,mL,0,100,62.9,1.45,1.28,11.4,10,16.9,0,0.8,0.03,0
망고주스,100,mL,0,100,29.4,0.09,0.35,6.46,6.1,4.92,0,0.32,0,0
연유 카페라떼 HOT,370,mL,0,370,330,9,0,0,33,147,0,8,0,91
연유 카페라떼 ICED,400,mL,0,400,280,6,0,0,29,107,0,6,0,91
연유 콜드브루,370,mL,0,370,282,6,0,0,29,107,0,6,0,130
흑당 라떼,370,mL,0,370,243,5,0,0,41,85,0,3.8,0,0
(EX)흑당 라떼,630,mL,0,630,388,8,0,0,65,140,0,6.3,0,0
흑당 콜드브루,370,mL,0,370,248,5,0,0,41,85,0,3.8,0,65
(EX)흑당 콜드브루,630,mL,0,630,397,9,0,0,65,140,0,6.3,0,130
버블 흑당 라떼,370,mL,0,370,266,4,0,0,39,79,0,3.2,0,0
(EX)버블 흑당 라떼,630,mL,0,630,430,8,0,0,64,149,0,6.3,0,0
버블 흑당 콜드브루,370,mL,0,370,271,5,0,0,39,79,0,3.2,0,65
(EX)버블 흑당 콜드브루,630,mL,0,630,439,9,0,0,64,149,0,10,0,130
이디야 콤부차 복숭아망고,370,mL,0,370,128,0,0,0,29,20,0,0.4,0,0
이디야 콤부차 청포도레몬,370,mL,0,370,120,0,0,0,26,4,0,0,0,0
이디야 사과주스,370,mL,0,370,115,0,0,0,26,11,0,0,0,0
버블 크림 밀크티,370,mL,0,370,315,6,0,0,33,111,0,6.3,0,18
버블 베리 밀크티,370,mL,0,370,299,6,0,0,31,110,0,6.3,0,0
버블 밀크티 쉐이크,400,mL,0,400,649,30,0,0,52,158,0,26,0,18
버블 베리 쉐이크,400,mL,0,400,633,30,0,0,50,157,0,26,0,0
라이언 망고후르츠,370,mL,0,370,290,0,0,0,59,58,0,0,0,0
어피치 애플허니,370,mL,0,370,255,0,0,0,60,15,0,0,0,0
콜드브루 아메리카노,370,mL,0,370,6,0,0,0,0,0,0,0,0,74
아포가토 오리지널,370,mL,0,370,166,4,0,0,16,35,0,6,0,91
아포가토 콜드브루 바닐라 모카,370,mL,0,370,228,4,0,0,29,40,0,7,0,91
(EX) 선셋 펀치,630,mL,0,630,168,0,0,0,38,12,0,0,0,0
선셋 펀치,370,mL,0,370,112,0,0,0,26,8,0,0,0,0
선라이즈 펀치,370,mL,0,370,140,0,0,0,28,3,0,0,0,0
(EX) 선라이즈 펀치,630,mL,0,630,209,0,0,0,41,4,0,0,0,0
오션 펀치,370,mL,0,370,122,0,0,0,30,5,0,0,0,0
(EX) 오션 펀치,630,mL,0,630,183,0,0,0,44,8,0,0,0,0
(EX) ICED 석류애플라임,630,mL,0,630,312,0,0,0,63,15,0,0,0,0
자몽네이블오렌지,370,mL,0,370,136,0,0,0,30,10,0,0,0,0
유자피나콜라다,370,mL,0,370,104,0,0,0,25,5,0,0,0,0
석류애플라임,370,mL,0,370,136,0,0,0,32,10,0,0,0,0
(EX)ICED 자몽네이블 오렌지,630,mL,0,630,322,1,0,0,72,4,0,0,0,0
(EX)ICED 유자피나콜라다,630,mL,0,630,290,1,0,0,67,2,0,0.1,0,0
꿀복숭아 플랫치노,400,mL,0,400,225,0,0,0,49,9,0,0,0,0
콜드브루 라떼,370,mL,0,370,128,6,0,0,9,95,0,4.3,0,140
콜드브루 화이트 비엔나,370,mL,0,370,289,7,0,0,33,137,0,6.9,0,70
니트로커피,370,mL,0,370,12,1,0,0,0,0,0,0,0,170
ICED 브라우니 쇼콜라,400,mL,0,400,503,9,0,0,42,262,0,20.8,0,12
HOT 브라우니 쇼콜라,370,mL,0,370,503,9,0,0,42,299,0,20.9,0,12
제주청귤 오리지널,370,mL,0,370,218,0,0,0,51,4,0,0.1,0,0
제주청귤 블라썸,370,mL,0,370,202,1,0,0,46,5,0,0.1,0,0
석류 오리지널,370,mL,0,370,176,0,0,0,31,10,0,0.1,0,0
석류 애플라임,370,mL,0,370,186,0,0,0,32,12,0,0.1,0,0
HOT 레몬 스윗플럼,370,mL,0,370,229,1,0,0,45,10,0,0.1,0,0
자몽 네이블 오렌지,370,mL,0,370,196,0,0,0,43,6,0,0.1,0,0
HOT 유자 피나콜라다,370,mL,0,370,197,0,0,0,43,3,0,0.1,0,0
HOT 에스프레소,370,mL,0,370,8,1,0,0,0,0,0,0.1,0,91
HOT 에스프레소 마끼아또,370,mL,0,370,14,1,0,0,0,5,0,0.3,0,91
HOT 에스프레소 콘파냐,370,mL,0,370,47,1,0,0,2,8,0,3.4,0,91
ICED 카페 아메리카노,400,mL,0,400,8,1,0,0,0,0,0,0.1,0,91
HOT 카페 아메리카노,370,mL,0,370,8,1,0,0,0,0,0,0.1,0,91
(EX)ICED 카페 아메리카노,630,mL,0,630,16,1,0,0,0,1,0,0.2,0,182
(EX)HOT 카페 아메리카노,630,mL,0,630,16,1,0,0,0,1,0,0.2,0,182
ICED 카페 라떼,400,mL,0,400,108,5,0,0,7,80,0,3.7,0,91
(EX)ICED 카페 라떼,630,mL,0,630,184,9,0,0,12,136,0,6.2,0,182
HOT 카페 라떼,370,mL,0,370,164,8,0,0,11,125,0,5.7,0,91
(EX)HOT 카페 라떼,630,mL,0,630,321,16,0,0,22,246,0,11.1,0,182
ICED 카푸치노,400,mL,0,400,124,6,0,0,8,91,0,4.1,0,91
HOT 카푸치노,370,mL,0,370,136,7,0,0,9,101,0,4.6,0,91
ICED 카페 모카,400,mL,0,400,294,6,0,0,24,100,0,14.8,0,99
HOT 카페 모카,370,mL,0,370,322,8,0,0,26,133,0,14.8,0,99
(EX)ICED 카페 모카,630,mL,0,630,417,10,0,0,38,147,0,16.7,0,197
(EX)HOT 카페 모카,630,mL,0,630,542,16,0,0,47,247,0,21.2,0,197
ICED 카라멜 마끼아또,400,mL,0,400,167,5,0,0,20,123,0,3.5,0,91
HOT 카라멜 마끼아또,370,mL,0,370,217,8,0,0,24,163,0,5.3,0,91
(EX)ICED 카라멜 마끼아또,630,mL,0,630,275,8,0,0,35,165,0,5.4,0,182
